,Racket Name,Head Size (in^2),Head Size (cm^2),Strung weight (g),Strung weight (oz),Balance,Swingweight,Beam Width,Racket Colours,String Pattern,Length (in),Length (cm),Unstrung weight (g),Unstrung weight (oz),Unstrung Balance,Stiffness,Composition,Grip Type,Tension,TW Review,Overall,Groundstrokes,Volleys,Serves,Returns,Power,Control,Maneuverability,Stability,Comfort,Touch/Feel,Topspin,Slice,Strung Balance
Wilson Clash 100 Pro (Tour) Silver Racket,Wilson Clash 100 Pro (Tour) Silver Racket,100.0,645.0,326.0,11.5," 31,5cm / 9 pts HL", 322," 24,5mm / 24,5mm / 24,5mm ", Silver!,16 Mains / 19 CrossesMains skip,27.0,68.5,310.0,10.9," 30,6cm/12 pts HL", 55, Graphite, Wilson Pro Performance,21-26kg / 48-58lb,False,,,,,,,,,,,,,,
Wilson Clash 100 Silver Racket,Wilson Clash 100 Silver Racket,100.0,645.0,312.0,11.0," 31,98cm / 7 pts HL", 312," 24,5mm / 24,5mm / 24,5mm ", Silver!,16 Mains / 19 CrossesMains skip,27.0,68.5,295.0,10.4, 31cm/10 pts HL, 55, Graphite, Wilson Pro Performance,21-26kg / 48-58lb,False,,,,,,,,,,,,,,
Wilson Clash 100L Silver Racket,Wilson Clash 100L Silver Racket,100.0,645.0,292.0,10.3," 32,49cm / 6 pts HL", 300," 24,5mm / 24,5mm / 24,5mm ", Silver!,16 Mains / 19 CrossesMains skip,27.0,68.5,280.0,9.9," 31,5cm/9 pts HL", 54, Graphite, Wilson Pro Performance,21-26kg / 48-58lb,False,,,,,,,,,,,,,,
Wilson Clash 100 Reverse Racket,Wilson Clash 100 Reverse Racket,100.0,645.0,312.0,11.0," 31,98cm / 7 pts HL", 312," 24,5mm / 24,5mm / 24,5mm ", Red,16 Mains / 19 CrossesMains skip,27.0,68.5,295.0,10.4, 31cm/10 pts HL, 55, Graphite, Wilson Pro Performance,21-26kg / 48-58lb,True,87,87,85,80,86,83,88,90,83,90,87,84,87,
Wilson Clash 100 Racket,Wilson Clash 100 Racket,100.0,645.0,312.0,11.0," 31,98cm / 7 pts HL", 312," 24,5mm / 24,5mm / 24,5mm ", Black/Gray/Red,16 Mains / 19 CrossesMains skip,27.0,68.5,295.0,10.4, 31cm/10 pts HL, 55, Graphite, Wilson Pro Performance,21-26kg / 48-58lb,True,87,87,85,80,86,83,88,90,83,90,87,84,87,
Wilson Clash 100 Pro (Tour) Racket,Wilson Clash 100 Pro (Tour) Racket,100.0,645.0,326.0,11.5," 31,5cm / 9 pts HL", 322," 24,5mm / 24,5mm / 24,5mm ", Black/Gray/Red,16 Mains / 19 CrossesMains skip,27.0,68.5,310.0,10.9," 30,6cm/12 pts HL", 55, Graphite, Wilson Pro Performance,21-26kg / 48-58lb,True,85,84,82,85,85,89,79,85,84,89,77,85,80,
Wilson Clash 100 UL Racket,Wilson Clash 100 UL Racket,100.0,645.0,281.0,9.9," 33,99cm / 1 pts HL", 299," 24,5mm / 24,5mm / 24,5mm ", Black/Grey/Red,16 Mains / 19 CrossesMains skip,27.0,68.5,265.0,9.3, 33cm/4 pt HL, 60, Graphite, Wilson Pro Performance,21-26kg / 48-58lb,False,,,,,,,,,,,,,,
Wilson Clash 100L Racket,Wilson Clash 100L Racket,100.0,645.0,292.0,10.3," 32,49cm / 6 pts HL", 300," 24,5mm / 24,5mm / 24,5mm ", Black/Grey/Red,16 Mains / 19 CrossesMains skip,27.0,68.5,280.0,9.9," 31,5cm/9 pts HL", 54, Graphite, Wilson Pro Performance,21-26kg / 48-58lb,False,,,,,,,,,,,,,,
Wilson Clash 108 Racket,Wilson Clash 108 Racket,108.0,697.0,295.0,10.4," 34,54cm / 0 pts EB", 312," 24,5mm / 24,5mm / 24,5mm ", Black/Grey/Red,16 Mains / 19 CrossesMains skip,27.25,69.2,280.0,9.9, 34cm/2 pts HL, 56, Graphite, Wilson Pro Performance,21-26kg / 48-58lb,False,,,,,,,,,,,,,,
Wilson Clash 98 Racket,Wilson Clash 98 Racket,98.0,632.0,326.0,11.5," 31,5cm / 9 pts HL", 326, 24mm / 24mm / 24mm , Black/Grey/Red,16 Mains / 19 CrossesMains skip,27.0,68.5,310.0,10.9," 30,6cm/12 pts HL", 55, Graphite, Wilson Pro Performance,21-26kg / 48-58lb,True,87,86,81,85,84,87,80,82,82,86,82,86,81,
Wilson Ultra 100 V3.0 Reverse Racket,Wilson Ultra 100 V3.0 Reverse Racket,100.0,645.0,318.0,11.2," 33,02cm / 4 pts HL", 312," 24,5mm / 26mm / 23,5mm ", Light Blue/Silver,16 Mains / 19 CrossesMains skip,27.0,68.5,300.0,10.6, 32cm / 7 pts HL, 73, Carbon Fiber Graphite, Wilson Pro Performance,22-27kg / 50-60lb,False,,,,,,,,,,,,,,
